source_dataset,campaign,channel,device,ad_type,age,gender,city,campaign_numeric_id,ad_numeric_id,interest,month,weekday,ctr_prior,cvr_prior,paid_performance_score,cpm,impressions,spend,clicks,conversions,ctr,cvr,cpc,cpa
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708746,15,0.0,0.0,0.0,0.0,62.411385606874326,0.19455781605442177,7350,1.429999948,1,1,0.00013605442176870748,1.0,1.429999948,1.429999948
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708749,16,0.0,0.0,0.0,0.0,49.296455424274974,0.10189799132187448,17861,1.820000023,2,0,0.00011197581322434354,0.0,0.9100000115,
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708815,28,0.0,0.0,0.0,0.0,57.086466165413526,0.29349612585113877,4259,1.25,1,0,0.00023479690068091102,0.0,1.25,
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708818,28,0.0,0.0,0.0,0.0,75.07518796992481,0.31212193612388095,4133,1.289999962,1,1,0.00024195499637067505,1.0,1.289999962,1.289999962
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708889,15,0.0,0.0,0.0,0.0,38.83458646616542,0.30547550310598787,15615,4.769999981,3,0,0.00019212295869356388,0.0,1.5899999936666667,
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708895,16,0.0,0.0,0.0,0.0,63.81310418904405,0.11597114245274404,10951,1.269999981,1,1,9.131586156515387e-05,1.0,1.269999981,1.269999981
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708953,27,0.0,0.0,0.0,0.0,50.21482277121374,0.6369426751592356,2355,1.5,1,0,0.0004246284501061571,0.0,1.5,
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,708958,28,0.0,0.0,0.0,0.0,62.36305048335124,0.3325615625131551,9502,3.159999967,3,0,0.0003157230056830141,0.0,1.0533333223333334,
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,709059,20,0.0,0.0,0.0,0.0,67.20730397422126,0.7007976146976618,14669,10.28000021,7,1,0.000477196809598473,0.14285714285714285,1.4685714585714287,10.28000021
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916,709115,30,0.0,0.0,0.0,0.0,72.28786251342643,0.24728850021691978,2305,0.569999993,1,0,0.0004338394793926247,0.0,0.569999993,
