source_dataset,campaign,channel,device,ad_type,age,gender,city,campaign_numeric_id,ad_numeric_id,interest,month,weekday,ctr_prior,cvr_prior,paid_performance_score,cpm
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708746.0,15.0,0.0,0.0,0.0,0.0,62.411385606874326,0.19455781605442177
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708749.0,16.0,0.0,0.0,0.0,0.0,49.296455424274974,0.10189799132187448
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708815.0,28.0,0.0,0.0,0.0,0.0,57.086466165413526,0.29349612585113877
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708818.0,28.0,0.0,0.0,0.0,0.0,75.07518796992481,0.31212193612388095
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708889.0,15.0,0.0,0.0,0.0,0.0,38.83458646616542,0.30547550310598787
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708895.0,16.0,0.0,0.0,0.0,0.0,63.81310418904405,0.11597114245274404
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708953.0,27.0,0.0,0.0,0.0,0.0,50.21482277121374,0.6369426751592356
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,708958.0,28.0,0.0,0.0,0.0,0.0,62.36305048335124,0.3325615625131551
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,709059.0,20.0,0.0,0.0,0.0,0.0,67.20730397422126,0.7007976146976618
facebook_kag_conversion,916,unknown,unknown,unknown,30-34,M,unknown,916.0,709115.0,30.0,0.0,0.0,0.0,0.0,72.28786251342643,0.24728850021691978
facebook_kag_conversion,916,unknown,unknown,unknown,35-39,M,unknown,916.0,709179.0,15.0,0.0,0.0,0.0,0.0,36.090225563909776,0.3652474728765939
facebook_kag_conversion,916,unknown,unknown,unknown,35-39,M,unknown,916.0,709183.0,16.0,0.0,0.0,0.0,0.0,74.07626208378089,0.22020356292209647
facebook_kag_conversion,916,unknown,unknown,unknown,35-39,M,unknown,916.0,709323.0,15.0,0.0,0.0,0.0,0.0,57.20730397422127,0.3659562387829501
facebook_kag_conversion,916,unknown,unknown,unknown,35-39,M,unknown,916.0,709326.0,16.0,0.0,0.0,0.0,0.0,41.13856068743287,0.25020508219852333
facebook_kag_conversion,916,unknown,unknown,unknown,35-39,M,unknown,916.0,709327.0,16.0,0.0,0.0,0.0,0.0,58.3780880773362,0.25096366300336254
facebook_kag_conversion,916,unknown,unknown,unknown,35-39,M,unknown,916.0,709544.0,29.0,0.0,0.0,0.0,0.0,65.22019334049408,0.4005376369623656
facebook_kag_conversion,916,unknown,unknown,unknown,40-44,M,unknown,916.0,709614.0,16.0,0.0,0.0,0.0,0.0,51.05263157894737,0.2888086694919688
facebook_kag_conversion,916,unknown,unknown,unknown,40-44,M,unknown,916.0,709756.0,16.0,0.0,0.0,0.0,0.0,78.39419978517724,0.15397230840014578
facebook_kag_conversion,916,unknown,unknown,unknown,40-44,M,unknown,916.0,709901.0,16.0,0.0,0.0,0.0,0.0,74.76906552094522,0.3556283389175799
